JTBD,BSci Intervention,Trigger,Minimum Condition,Parameters,CTA,Measurement,Notification Header,Notification Body,GPT Header Chars,GPT Body Chars,Real Header Chars,Real Body Chars
Help me build my motivation,help me feel I am progressing/new daily record hit,new record reached,need to set limits so it is not sent too often,# minutes of activity current,Perform physical activity,-,"Hi [name], you're outdoing yourself!",You've reached a new peak with your activity today. Let's keep climbing!,29,74,36,72
Help me build my motivation,help me feel I am progressing/new daily record hit,new record reached,need to set limits so it is not sent too often,# minutes of activity current,manual log physical activity in the app,-,"Hi [name], you're exceeding expectations!",You've broken your previous record with today's activity. Make sure to log this in the app!,32,92,41,91
Help me build my motivation,help me feel I am progressing/new daily record hit,new record reached,need to set limits so it is not sent too often,# minutes of activity current,Perform physical activity,-,"Hi [name], you're making strides!",You've set a new record with your activity today. Let's strive for more!,27,75,33,72
Help me build my motivation,help me feel I am progressing/new daily record hit,new record reached,need to set limits so it is not sent too often,# minutes of activity current,manual log physical activity in the app,-,"Hi [name], you're reaching new levels!",You've achieved a new record with today's activity. Remember to log this in the app!,30,85,38,84
Help me build my motivation,help me feel I am progressing/new daily record hit,new record reached,need to set limits so it is not sent too often,# minutes of activity current,Perform physical activity,-,"Hi [name], you're setting the pace!",You've hit a new personal best with your activity today. Let's keep this pace up!,28,78,35,81
Help me build my motivation,help me feel I am progressing/new daily record hit,new record reached,need to set limits so it is not sent too often,# minutes of activity current,manual log physical activity in the app,-,"Hi [name], you're breaking barriers!",You've surpassed your old record with today's activity. Don't forget to log this in the app!,30,88,36,92
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,Perform physical activity,-,"Hi [name], let's keep the streak going!",You've met your goal for the past 3 days. Let's not break the streak. Get moving!,32,82,39,81
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,manual log physical activity in the app,-,"Hi [name], let's continue the success!",You've been successful for the past 3 days. Let's keep it up and log today's activity in the app.,32,94,38,97
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,Perform physical activity,-,"Hi [name], let's maintain the momentum!",You've achieved your goal for 3 consecutive days. Let's keep the momentum going with some activity today.,33,104,39,105
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,manual log physical activity in the app,-,"Hi [name], let's extend the winning streak!",You've met your goal for 3 days in a row. Let's extend the streak. Remember to log your activity in the app.,34,108,43,108
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,Perform physical activity,-,"Hi [name], let's keep up the good work!",You've been on a roll for the past 3 days. Let's keep up the good work with some physical activity today.,31,103,39,105
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,manual log physical activity in the app,-,"Hi [name], let's keep the good times rolling!",You've met your goal for 3 straight days. Let's keep the good times rolling. Don't forget to log your activity in the app.,34,113,45,122
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,Perform physical activity,-,"Hi [name], let's keep the success train moving!",You've achieved your goal for the past 3 days. Let's keep the success train moving with some physical activity today.,35,109,47,117
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,manual log physical activity in the app,,"Hi [name], let's keep the success chain unbroken!",You've met your goal for 3 consecutive days. Let's keep the success chain unbroken. Remember to log your activity in the app.,34,110,49,125
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,Perform physical activity,-,"Hi [name], let's keep the victory lap going!",You've met your goal for the past 3 days. Let's keep the victory lap going with some physical activity today.,32,103,44,109
Help me build my motivation,help me feel I am progressing/previous successes1,time insensitive,goal met past 3+ days; goal not yet met today,-,manual log physical activity in the app,-,"Hi [name], let's continue the triumph!",You've achieved your goal for 3 days straight. Let's continue the triumph. Don't forget to log your activity in the app.,30,106,38,120
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Perform physical activity,-,"Good morning, [name]!",You've been doing great for the past 5 days. Let's keep the streak going with some physical activity today!,130,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Perform physical activity,-,"[name], let's keep going!",You've met your goal for 5 days in a row. Let's make today the 6th!,94,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Perform physical activity,-,"[name], you're on a roll!",You've been meeting your goal for 5 days straight. Let's keep up the good work today!,114,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Perform physical activity,-,"Let's go, [name]!",You've been successful for 5 days in a row. Let's keep the momentum going with some activity today!,122,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Perform physical activity,-,"[name], let's continue the streak!",You've achieved your goal for 5 consecutive days. Let's make today the 6th day!,112,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Manual log physical activity in the app,-,"[name], log your progress!","Remember to log your physical activity. You've been successful for 5 days, let's log today's activity!",120,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Manual log physical activity in the app,-,"Time to log, [name]!","Logging your physical activity is key. You've been on a roll for 5 days, let's log today's activity!",122,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Manual log physical activity in the app,-,"[name], track your progress!","Don't forget to log your physical activity. You've been doing great for 5 days, let's keep it up!",116,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Manual log physical activity in the app,-,"Hi [name], time to log!","Remember to log your physical activity. You've been successful for 5 days, let's make today the 6th!",114,,,
Help me build my motivation,Help me feel I am progressing/previous successes2,time insensitive,"goal met >5 days in a row, goal NOT yet met today",-,Manual log physical activity in the app,-,"[name], log your activity!","Logging your physical activity is important. You've been on a streak for 5 days, let's continue it today!",122,,,
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",Perform physical activity,-,"Hi [name], you're doing great today!",You've already reached 60% of your daily goal with # min active. Let's keep going and reach 100%!,30,95,36,97
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",manual log physical activity in the app,-,"Hi [name], you're on a roll today!",You've completed 60% of your daily goal with # min active. Don't forget to log your activity in the app.,30,101,34,104
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",Perform physical activity,-,"Hi [name], you're making progress today!",You've achieved 60% of your daily goal with # min active. Let's push for that 100%!,31,87,40,83
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",manual log physical activity in the app,-,"Hi [name], you're smashing it today!",You've reached 60% of your daily goal with # min active. Keep up the good work and remember to log your activity in the app.,30,113,36,124
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",Perform physical activity,-,"Hi [name], you're doing fantastic today!",You've already achieved 60% of your daily goal with # min active. Let's keep the momentum going!,31,89,40,96
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",manual log physical activity in the app,-,"Hi [name], you're on track today!",You've completed 60% of your daily goal with # min active. Keep it up and don't forget to log your activity in the app.,28,107,33,119
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",Perform physical activity,-,"Hi [name], you're doing well today!",You've reached 60% of your daily goal with # min active. Let's strive for the full 100%!,28,77,35,88
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",manual log physical activity in the app,-,"Hi [name], you're making strides today!",You've achieved 60% of your daily goal with # min active. Keep going and remember to log your activity in the app.,31,98,39,114
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",Perform physical activity,-,"Hi [name], you're on fire today!",You've already reached 60% of your daily goal with # min active. Let's keep the fire burning and reach the finish line!,27,104,32,119
Help me build my motivation,help me feel I am progressing/today,reached 60% of daily goal,daily goal >=15,"daily goal, # min active, # min left, %active",manual log physical activity in the app,-,"Hi [name], you're soaring high today!",You've completed 60% of your daily goal with # min active. Keep soaring and don't forget to log your activity in the app.,30,107,37,121
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,Perform physical activity,-,"Hi [name], let's build on yesterday's success!","You met your goal yesterday, let's do it again today. Get up and get moving!",38,79,46,76
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,manual log physical activity in the app,-,"Hi [name], let's repeat yesterday's win!",You achieved your goal yesterday. Let's repeat that today and don't forget to log your activity in the app.,34,104,40,107
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,Perform physical activity,-,"Hi [name], let's keep the momentum going!",You reached your goal yesterday. Let's keep the momentum going by engaging in some physical activity today.,35,111,41,107
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,manual log physical activity in the app,-,"Hi [name], let's make it two in a row!",You met your goal yesterday. Let's make it two in a row! Remember to log your activity in the app.,30,96,38,98
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,Perform physical activity,-,"Hi [name], let's continue the success streak!",You achieved your goal yesterday. Let's continue the success streak with some physical activity today.,37,103,45,102
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,manual log physical activity in the app,-,"Hi [name], let's keep up the good work!",You met your goal yesterday. Let's keep up the good work! Don't forget to log your activity in the app.,32,96,39,103
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,Perform physical activity,-,"Hi [name], let's strive for another win!",You reached your goal yesterday. Let's strive for another win by engaging in some physical activity today.,32,105,40,106
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,manual log physical activity in the app,-,"Hi [name], let's aim for another achievement!",You achieved your goal yesterday. Let's aim for another achievement today and remember to log your activity in the app.,37,108,45,119
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,Perform physical activity,-,"Hi [name], let's keep the success going!",You met your goal yesterday. Let's keep the success going by doing some physical activity today.,31,94,40,96
Help me build my motivation,help me feel I am progressing/yesterday's successes2,time insensitive,goal met yesterday; goal not yet met today; time == before 4 pm; weekly goal not met,-,manual log physical activity in the app,-,"Hi [name], let's make today another successful day!",You reached your goal yesterday. Let's make today another successful day! Don't forget to log your activity in the app.,38,104,51,119
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,Perform physical activity,-,"Hi [name], let's make exercise fun!","It's cold outside, but that doesn't mean we can't have fun. Let's try some indoor exercises to meet your daily goal!",32,115,35,116
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's make indoor exercise fun!","The weather is cold, but we can still have fun indoors. Try some indoor exercises and remember to log them in the app.",37,116,42,118
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,Perform physical activity,-,"Hi [name], let's bring the fun indoors!","It's cold outside, but we can still have fun. Let's try some indoor exercises to keep active and meet your daily goal!",33,117,39,118
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's keep active indoors!","The weather is cold, but we can still keep active indoors. Try some indoor exercises and don't forget to log them in the app.",32,116,37,125
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,Perform physical activity,-,"Hi [name], let's make the most of indoors!","It's cold outside, but we can still make the most of it. Let's try some indoor exercises to meet your daily goal!",34,108,42,113
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's keep the fun going indoors!","The weather is cold, but we can still have fun indoors. Try some indoor exercises and remember to log them in the app.",35,113,44,118
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,Perform physical activity,-,"Hi [name], let's bring the heat indoors!","It's cold outside, but we can bring the heat indoors. Let's try some indoor exercises to meet your daily goal!",33,108,40,110
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's keep warm with indoor exercise!","The weather is cold, but we can keep warm with indoor exercises. Try some and don't forget to log them in the app.",38,114,48,114
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,Perform physical activity,-,"Hi [name], let's turn up the heat indoors!","It's cold outside, but we can turn up the heat indoors. Let's try some indoor exercises to meet your daily goal!",34,108,42,112
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)1,open block on calendar (or time insensitive),weather = cold; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's stay active indoors!","The weather is cold, but we can stay active indoors. Try some indoor exercises and remember to log them in the app.",31,108,37,115
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,Perform physical activity,-,"Hi [name], let's make exercise fun!","It's hot outside, but that doesn't mean we can't have fun. Let's try some indoor exercises to meet your daily goal!",32,115,35,115
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's make indoor exercise fun!","The weather is hot, but we can still have fun indoors. Try some indoor exercises and remember to log them in the app.",34,116,42,117
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,Perform physical activity,-,"Hi [name], let's bring the fun indoors!","It's hot outside, but we can still have fun. Let's try some indoor exercises to keep active and meet your daily goal!",33,117,39,117
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's keep active indoors!","The weather is hot, but we can still keep active indoors. Try some indoor exercises and don't forget to log them in the app.",32,116,37,124
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,Perform physical activity,-,"Hi [name], let's make the most of indoors!","It's hot outside, but we can still make the most of it. Let's try some indoor exercises to meet your daily goal!",34,108,42,112
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's keep the fun going indoors!","The weather is hot, but we can still have fun indoors. Try some indoor exercises and remember to log them in the app.",35,113,44,117
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,Perform physical activity,-,"Hi [name], let's bring the cool indoors!","It's hot outside, but we can bring the cool indoors. Let's try some indoor exercises to meet your daily goal!",32,108,40,109
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's keep cool with indoor exercise!","The weather is hot, but we can keep cool with indoor exercises. Try some and don't forget to log them in the app.",37,114,48,113
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,Perform physical activity,-,"Hi [name], let's turn down the heat indoors!","It's hot outside, but we can turn down the heat indoors. Let's try some indoor exercises to meet your daily goal!",34,108,44,113
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)2,open block on calendar (or time insensitive),weather = hot; daily goal not met,location,manual log physical activity in the app,-,"Hi [name], let's stay active indoors!","The weather is hot, but we can stay active indoors. Try some indoor exercises and remember to log them in the app.",31,108,37,114
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,Perform physical activity,-,"Hi [name], let's make exercise fun!",You're halfway to your daily goal of [daily goal] minutes. Let's make the rest of the journey fun with some enjoyable exercises!,32,120,35,128
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,manual log physical activity in the app,-,"Hi [name], let's make exercise enjoyable!",You're halfway to your daily goal of [daily goal] minutes. Try some fun exercises and remember to log them in the app.,34,116,41,118
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,Perform physical activity,-,"Hi [name], let's bring the fun to exercise!",You're halfway to your daily goal of [daily goal] minutes. Let's bring the fun to the remaining journey with some enjoyable exercises!,33,120,43,134
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,manual log physical activity in the app,-,"Hi [name], let's keep active with fun exercises!",You're halfway to your daily goal of [daily goal] minutes. Try some fun exercises and don't forget to log them in the app.,32,116,48,122
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,Perform physical activity,-,"Hi [name], let's make the most of fun exercises!",You're halfway to your daily goal of [daily goal] minutes. Let's make the most of the remaining journey with some fun exercises!,34,120,48,128
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,manual log physical activity in the app,-,"Hi [name], let's keep the fun going with exercises!",You're halfway to your daily goal of [daily goal] minutes. Try some fun exercises and remember to log them in the app.,35,113,51,118
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,Perform physical activity,-,"Hi [name], let's enjoy the rest of the journey!",You're halfway to your daily goal of [daily goal] minutes. Let's enjoy the rest of the journey with some fun exercises!,36,109,47,119
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,manual log physical activity in the app,-,"Hi [name], let's keep active with enjoyable exercises!",You're halfway to your daily goal of [daily goal] minutes. Try some enjoyable exercises and don't forget to log them in the app.,35,116,54,128
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,Perform physical activity,-,"Hi [name], let's make the rest of the day fun!",You're halfway to your daily goal of [daily goal] minutes. Let's make the rest of the day fun with some enjoyable exercises!,33,109,46,124
Help me build my motivation,Help me make exercise more fun/enjoyable (make it enjoyable)3,time insensitive,>=50% of daily goal remaining & Daily goal >=15; time ==before 8 pm,daily goal,manual log physical activity in the app,-,"Hi [name], let's keep the fun going with enjoyable exercises!",You're halfway to your daily goal of [daily goal] minutes. Try some enjoyable exercises and remember to log them in the app.,36,116,61,124
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's remember the importance of exercise!","You have [min to goal] minutes left to reach your goal. Remember, regular exercise is crucial for managing your [disease]. Let's do it!",38,120,53,135
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep track of our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Don't forget to log your activity in the app.,34,116,42,154
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's prioritize our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's prioritize our health!,33,120,39,141
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's stay on top of our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Remember to log your activity in the app.,32,116,43,150
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's make the most of our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's make the most of our health!,34,120,45,147
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep the focus on our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Don't forget to log your activity in the app.,35,113,46,154
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's take care of our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's take care of our health!,33,120,41,143
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep track of our progress!",You have [min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Remember to log your activity in the app.,34,116,44,150
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's stay committed to our health!",You have [min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's stay committed to our health!,34,120,46,148
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep the momentum going!",You have [min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Don't forget to log your activity in the app.,33,116,41,154
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's remember the importance of exercise!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's do it!,38,120,53,127
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep track of our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Don't forget to log your activity in the app.,34,116,42,156
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's prioritize our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's prioritize our health!,33,120,39,143
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's stay on top of our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Remember to log your activity in the app.,32,116,43,152
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's make the most of our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's make the most of our health!,34,120,45,149
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep the focus on our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Don't forget to log your activity in the app.,35,116,46,156
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's take care of our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's take care of our health!,33,120,41,145
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep track of our progress!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Remember to log your activity in the app.,34,116,44,152
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,Perform physical activity,-,"Hi [name], let's stay committed to our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your [disease]. Let's stay committed to our health!,34,120,46,150
Help me build my motivation,Help me understand/remember how important it is medically,time insensitive,# min left to goal >=5; time = before 8 pm,disease; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep the momentum going!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your [disease]. Don't forget to log your activity in the app.,33,116,41,156
Help me build my motivation,Help me understand/remember how important it is medically/disease specific1,time insensitive,# min left to goal >=5; daily goal >=15,disease=prediabetes/diabetes; # min to goal,Perform physical activity,-,"Hi [name], let's remember the importance of exercise!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your prediabetes/diabetes. Let's do it!,38,120,53,138
Help me build my motivation,Help me understand/remember how important it is medically/disease specific1,time insensitive,# min left to goal >=5; daily goal >=15,disease=prediabetes/diabetes; # min to goal,manual log physical activity in the app,-,"Hi [name], let's keep track of our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your prediabetes/diabetes. Don't forget to log your activity in the app.,34,116,42,167
Help me build my motivation,Help me understand/remember how important it is medically/disease specific1,time insensitive,# min left to goal >=5; daily goal >=15,disease=prediabetes/diabetes; # min to goal,Perform physical activity,-,"Hi [name], let's prioritize our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is crucial for managing your prediabetes/diabetes. Let's prioritize our health!,33,120,39,154
Help me build my motivation,Help me understand/remember how important it is medically/disease specific1,time insensitive,# min left to goal >=5; daily goal >=15,disease=prediabetes/diabetes; # min to goal,manual log physical activity in the app,-,"Hi [name], let's stay on top of our health!",You have [# min to goal] minutes left to reach your goal. Regular exercise is key for managing your prediabetes/diabetes. Remember to log your activity in the app.,32,116,43,163
